#contig	Length	B0H_VFD_S52_	B0H_VFN_S44_	B0L_VFD_S51_	B0L_VFN_S43_	B2R2H_VFD_S54_	B2R2H_VFN_S46_	B2R2L_VFD_S53_	B2R2L_VFN_S45_	B3R2H_VFD_S55_	B3R2H_VFN_S48_	B3R2L_VFN_S47_	B8R2H_VFD_S57_	B8R2H_VFN_S50_	B8R2L_VFD_S56_	B8R2L_VFN_S49_
VIRSorter_Contig_699-cat_2	86526	12.3671	1.4734	12.8964	14.5390	0.6397	0.0000	5.7760	19.7823	1.5300	0.9696	2.5576	9.9436	32.3545	1.7098	1.2345
VIRSorter_Contig_1095-cat_2	86436	0.0000	0.0000	0.0000	0.0078	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0313	0.0000	0.0000
VIRSorter_Contig_178-cat_2	84360	0.3736	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4508	0.0000	0.0000	0.0000	0.0530	0.1804	0.0000	0.0000
VIRSorter_Contig_837-cat_2	83920	5.8875	3.0638	11.2667	13.6571	1.3767	1.7395	11.2588	3.0107	8.5025	3.4869	0.8519	7.6318	2.7455	32.7288	28.7239
VIRSorter_Contig_4121-cat_2	75037	5.5588	3.1574	1.9847	1.2838	6.2057	6.5364	7.1273	3.8262	5.9576	4.5533	2.6746	1.9518	2.0819	19.8063	8.8059
VIRSorter_Contig_722-cat_2	74864	5.7682	2.9622	10.7489	13.3508	1.4573	1.6148	10.5396	2.8078	8.0770	3.2876	0.8720	7.0814	2.5987	31.2861	27.4400
VIRSorter_Contig_2491-cat_2	74674	1.3044	0.3483	0.6628	0.2368	1.6158	0.4420	0.8991	15.2314	1.6365	0.5753	0.4018	1.1983	1.0308	1.3566	0.6703
VIRSorter_Contig_296-cat_2	74047	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1858-cat_2	73637	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_3353-cat_2	72963	0.0000	0.0000	0.0097	0.0000	0.0347	0.0344	0.7279	0.0349	0.1366	0.0000	0.0000	15.3305	2.4668	0.1414	0.0000
VIRSorter_Contig_987-cat_2	72398	0.1418	0.9926	6.4901	9.8369	0.0503	0.0719	2.6364	0.3015	4.2163	1.2505	0.3229	0.4640	0.4743	0.1937	0.1765
VIRSorter_Contig_3109-cat_2	71946	6.2751	3.2393	3.4962	4.1780	9.2118	10.5806	5.9819	4.9970	5.4288	4.8567	2.4749	13.3314	9.0458	6.4588	6.1546
VIRSorter_Contig_1181-cat_2	71656	0.0000	0.0000	0.0000	0.0000	13.6500	0.0000	0.0217	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_4019-cat_2	70061	0.0222	0.0000	0.0269	0.0000	0.0000	0.0000	0.0445	0.0170	0.0000	0.0000	0.0000	0.0000	0.0000	0.0368	0.0041
VIRSorter_Contig_1739-cat_2	68761	20.0019	13.1049	8.1752	9.8937	16.5722	13.8372	10.3758	8.2698	7.5951	6.8287	7.4721	18.7176	8.1298	13.5616	10.4208
VIRSorter_Contig_3243-cat_2	68271	0.0000	0.0412	0.4154	0.0549	2.2875	0.2320	1.5106	0.4487	0.7606	1.5493	4.7314	13.2863	0.1555	3.1963	0.5606
VIRSorter_Contig_1456-cat_2	65780	1.5055	0.5468	1.0917	0.9471	12.3367	1.4125	1.1428	0.8392	1.4640	1.7624	1.3313	0.5657	0.1912	3.8427	2.6412
VIRSorter_Contig_2870-cat_2	64709	0.9689	0.0437	3.1835	2.9929	0.4874	0.3979	3.4541	0.6417	19.0305	11.4659	0.2194	9.0247	3.8490	1.0472	0.4368
VIRSorter_Contig_1201-cat_2	64681	0.2068	0.0327	0.4856	0.3852	9.9746	2.3326	0.2016	0.1307	0.0330	0.0806	0.4124	4.9757	0.7962	0.0150	0.4740
VIRSorter_Contig_3834-cat_2	64443	6.8879	4.3912	6.5899	6.4617	4.6792	3.6588	7.4074	5.0253	8.9056	6.0258	3.7778	16.3935	12.7464	7.0988	4.2546
VIRSorter_Contig_4565-cat_2	64394	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2067-cat_2	63850	0.6765	0.8165	4.4477	0.8850	0.9536	6.2639	12.6918	4.8079	6.6024	0.4643	1.3828	1.0299	5.8753	0.4615	0.6023
VIRSorter_Contig_1294-cat_2	63675	0.0000	0.0000	0.0000	0.0000	0.1033	0.0043	0.1315	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1711	0.0288
VIRSorter_Contig_831-cat_2	63653	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2889-cat_2	62870	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2201-cat_2	62787	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2418-cat_2	61629	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1495	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2595-cat_2	61549	3.4079	1.7356	4.2901	5.8678	1.5457	0.9318	13.1354	2.5097	15.9440	6.1374	1.4047	14.3435	8.2818	6.3074	5.3622
VIRSorter_Contig_4005-cat_2	61463	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_3598-cat_2	61258	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_3356-cat_2	61060	4.3498	4.0681	6.6434	5.6427	19.4810	9.2797	5.5822	2.8552	11.8376	6.4254	6.2567	11.5383	5.9391	2.3667	1.7528
VIRSorter_Contig_3713-cat_2	60890	31.5845	12.8507	19.6106	17.2448	22.2722	15.4216	16.4361	9.5279	9.8027	5.9663	6.1646	20.4229	14.9141	16.5561	8.5308
VIRSorter_Contig_65-cat_2	60691	14.3930	2.9599	14.4139	30.2350	1.4111	0.5894	16.9228	5.5549	2.2011	4.4330	0.1162	1.8876	0.7461	8.0452	6.1664
VIRSorter_Contig_2538-cat_2	60408	0.0570	0.0134	0.1186	0.1638	0.1045	0.0583	0.0826	0.0000	0.0000	0.0000	0.0000	0.0087	0.0000	0.0511	0.0436
VIRSorter_Contig_1376-cat_2	60333	1.1279	0.4452	0.6953	0.8387	13.3199	13.6286	2.7682	1.4779	2.5432	0.8061	2.9254	0.3504	0.3008	5.2384	2.8715
VIRSorter_Contig_895-cat_2	59610	0.5920	0.0644	10.0299	0.0000	0.0457	0.0953	0.0973	0.0500	0.8033	0.7001	0.0000	0.0175	0.0000	0.0642	0.0000
VIRSorter_Contig_2014-cat_2	59608	10.5494	11.3966	30.7495	23.1522	24.0891	20.7821	27.3192	6.0066	26.3594	5.4733	6.0770	8.4810	8.0246	21.9287	14.9876
VIRSorter_Contig_169-cat_2	59595	15.8366	10.9739	12.8386	14.2259	14.3200	8.7153	17.6397	14.6366	10.4919	5.2114	4.1361	12.0305	8.4079	21.9960	11.4464
VIRSorter_Contig_3679-cat_2	59209	142.6977	67.2109	123.1331	129.0319	37.8770	23.8145	13.7237	10.7555	12.3425	17.8116	3.0632	44.2350	18.6539	0.0000	0.0000
VIRSorter_Contig_2744-cat_2	58730	0.4274	0.1285	1.5812	1.2174	0.3481	0.1635	8.2313	3.2070	15.8816	9.5686	0.5528	14.5582	8.6641	0.9860	1.0196
VIRSorter_Contig_3775-cat_2	58420	5.0134	3.4546	9.6296	10.1093	7.3891	4.1765	11.5843	8.1021	6.8191	5.6209	3.1187	11.9858	10.7533	6.6679	5.4081
VIRSorter_Contig_3325-cat_2	58386	0.0900	0.2728	0.1364	0.1288	0.0000	0.0811	0.0000	0.0000	0.0176	0.0920	0.0169	19.8973	10.0413	0.1377	0.3480
VIRSorter_Contig_192-cat_2	58258	8.8709	3.0155	3.1793	2.8727	8.1608	5.8637	3.4186	3.9529	1.5640	0.8603	1.8730	2.1285	0.5605	7.8229	3.5221
VIRSorter_Contig_1500-cat_2	58083	8.8819	6.0716	12.4213	11.4306	14.6715	7.0002	10.1220	6.4806	7.7828	6.3523	5.5499	13.4890	9.8351	10.2160	6.1783
VIRSorter_Contig_409-cat_2	57942	10.5087	1.3729	0.4464	4.2427	0.7398	0.4300	0.0947	0.1338	0.1188	0.2040	0.4296	0.6084	2.1005	6.5664	2.3149
VIRSorter_Contig_4372-cat_2	57475	0.9987	1.9129	3.6051	3.2856	5.3824	3.7749	0.7480	0.1073	7.8010	2.4516	0.7173	4.0727	3.4555	15.7123	12.5301
VIRSorter_Contig_2534-cat_2	57417	1.0376	0.7626	1.2492	1.1815	5.6847	3.6531	9.2851	4.4485	13.0126	8.5044	7.9185	13.1876	6.5409	0.9661	2.7099
VIRSorter_Contig_370-cat_2	57200	12.4895	8.4700	1.7952	1.5518	12.3854	4.8109	8.0951	5.2084	2.2481	1.6841	5.3418	3.3503	1.5345	7.0301	3.4135
VIRSorter_Contig_3893-cat_2	57075	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1319-cat_2	57018	0.3105	0.1219	0.1506	0.1759	0.2249	0.0935	0.1050	0.0633	0.1177	0.0435	0.0317	0.1544	0.0920	0.1536	0.0607
VIRSorter_Contig_3948-cat_2	56992	5.6341	0.6040	0.9290	0.8969	3.2648	4.3187	3.2447	2.2471	5.1211	2.5185	1.8056	11.7866	13.3679	4.0443	5.8548
VIRSorter_Contig_1084-cat_2	56303	0.4753	0.2657	0.6011	11.2409	0.6363	0.3692	0.3976	0.3678	0.3936	0.1282	0.2499	0.3588	0.5533	0.1381	0.1482
VIRSorter_Contig_757-cat_2	56272	5.1365	2.2324	12.9355	4.8054	2.1382	6.5901	1.3717	0.2830	1.1030	0.9064	6.6287	9.8013	2.2551	0.2101	0.0000
VIRSorter_Contig_1646-cat_2	55255	31.5855	20.3156	55.9272	49.0829	49.9372	32.6592	37.6965	23.7936	56.6240	45.7372	19.3603	45.6721	37.1312	58.7783	40.0467
VIRSorter_Contig_3885-cat_2	55236	20.4522	13.8777	12.9580	12.1926	12.7667	8.5539	21.1896	19.5736	18.2470	10.4639	7.6188	29.4675	21.1814	16.2614	9.2127
VIRSorter_Contig_4528-cat_2	55010	0.0570	0.0000	0.3042	1.1571	0.0785	0.0779	0.5525	0.7693	5.1857	1.0731	0.5007	3.1166	1.9779	0.9191	11.7227
VIRSorter_Contig_1670-cat_2	54999	0.0000	0.0000	0.0000	0.0000	14.9836	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_629-cat_2	54742	11.0594	5.8173	21.8179	16.9322	6.1380	5.9347	16.0693	3.5739	14.5846	11.1053	10.4654	17.6330	8.6939	15.4433	13.7917
VIRSorter_Contig_3417-cat_2	54639	0.9538	0.6514	0.6379	0.3853	0.7005	0.1324	1.3633	1.0435	2.6341	4.1808	1.2391	20.7084	7.6440	0.9799	0.1282
VIRSorter_Contig_1008-cat_2	54638	0.8640	0.2872	15.8455	15.4724	0.1396	0.0000	6.8357	5.9225	3.3815	1.9682	0.1705	11.1103	9.1450	1.3848	0.5080
VIRSorter_Contig_3905-cat_2	54367	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_385-cat_2	54127	9.8367	1.5286	0.7466	1.2302	0.8962	0.4805	0.2849	0.2849	0.4393	0.0643	0.1006	0.0518	0.0843	0.2330	0.2386
VIRSorter_Contig_2175-cat_2	54059	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	23.0676	3.0192	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1082-cat_2	53476	1.0113	0.6409	10.8652	14.0420	0.5909	0.1403	3.6973	1.3788	4.5254	1.4609	0.6288	5.5234	4.0078	1.7255	1.6607
VIRSorter_Contig_1412-cat_2	53340	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_950-cat_2	53308	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1970-cat_2	52749	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	12.6271	2.1769	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2989-cat_2	52666	0.1272	0.0000	0.0916	0.1599	0.1701	0.0000	0.3746	0.0795	0.3734	0.0984	0.0691	0.2023	0.0731	0.3330	0.2554
VIRSorter_Contig_3695-cat_2	52651	10.2073	5.7556	2.3276	3.5740	12.7831	4.6288	5.0083	5.0820	14.2976	1.9831	1.4093	17.3395	26.9297	3.3777	3.6455
VIRSorter_Contig_1347-cat_2	52540	12.6465	7.2115	5.4888	5.1421	12.5280	7.7649	4.6159	3.5306	3.4254	1.7928	4.6532	7.3019	5.3145	9.3471	5.9162
VIRSorter_Contig_1667-cat_2	52433	7.1452	1.6652	0.2602	0.0399	12.9098	5.0309	0.0000	0.0000	0.2002	0.0000	0.1384	0.1874	0.0411	0.0000	0.0000
VIRSorter_Contig_1069-cat_2	52371	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1606-cat_2	52290	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1746-cat_2	52227	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2986-cat_2	52117	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_3719-cat_2	52093	0.4896	1.4075	0.4078	0.3898	0.0000	0.0045	1.8087	3.0330	4.0395	0.5841	0.0000	10.1755	12.0190	0.1083	0.0000
VIRSorter_Contig_57-cat_2	51973	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2378-cat_2	51858	0.6815	0.5890	0.9483	0.0000	0.1999	0.7646	2.8481	26.1023	0.0820	0.0064	0.0000	0.1143	0.0907	0.2674	2.9504
VIRSorter_Contig_2299-cat_2	51826	1.1148	1.1868	3.3582	0.0914	0.4362	0.8755	10.6371	0.4568	0.1508	0.0369	0.0000	0.5687	0.3044	0.2811	7.7079
VIRSorter_Contig_2603-cat_2	51798	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_300-cat_2	51667	12.8572	6.7146	13.8034	11.8670	15.7730	10.4321	10.5688	4.8664	7.3214	4.1243	3.3518	15.1639	8.8250	8.7012	4.6916
VIRSorter_Contig_1099-cat_2	51366	19.5360	10.3460	12.2356	15.9720	18.6379	10.4742	21.3597	16.1548	2.5524	2.9069	5.2958	8.7735	5.4239	10.5726	7.7534
VIRSorter_Contig_3092-cat_2	51294	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_792-cat_2	51195	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2072-cat_2	50942	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	19.6127	1.9840	4.1012	0.0633	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_3476-cat_2	50782	2.4724	0.9850	6.1445	4.0013	7.2599	0.7505	4.5398	2.2629	15.7305	3.7933	0.3879	18.9948	11.0994	8.6864	2.2912
VIRSorter_Contig_3441-cat_2	50714	6.3159	5.9422	13.5159	9.7605	2.0305	0.8030	11.9103	4.5731	8.2856	5.4717	1.0446	10.9307	7.7784	1.3299	2.0896
VIRSorter_Contig_3881-cat_2	50463	13.1667	7.2316	9.9521	10.9600	34.9350	28.4838	16.7289	10.2454	7.0002	6.2075	4.8380	11.1316	11.0518	3.0235	3.9702
VIRSorter_Contig_3701-cat_2	50200	0.0646	0.0068	0.0359	0.0298	0.0087	0.0128	0.0367	0.0000	0.0585	0.0000	0.0000	0.0898	0.0951	0.0764	0.0472
VIRSorter_Contig_4404-cat_2	49995	7.8157	5.0221	11.7978	11.9665	4.3153	2.3286	18.6254	11.0729	36.9018	16.6049	6.7031	29.2834	23.7767	22.3686	13.8483
VIRSorter_Contig_1751-cat_2	49964	5.1158	3.7320	4.0289	3.3346	13.2715	16.2141	3.6955	2.2871	6.3432	4.3312	1.7074	10.9205	12.8330	2.3416	1.3412
VIRSorter_Contig_959-cat_2	49794	0.0000	0.0000	9.5824	14.3090	0.0000	0.0000	2.3752	1.8535	0.4426	0.0000	0.0000	0.5941	1.4043	0.0000	0.0000
VIRSorter_Contig_3498-cat_2	49794	5.2082	3.1463	5.1713	4.0052	3.6752	2.4872	6.1720	3.8391	7.2365	4.9604	2.5013	10.7382	6.4686	6.3646	3.5195
VIRSorter_Contig_3889-cat_2	49780	0.0167	0.0000	0.0126	0.0000	0.2643	0.1548	0.0000	0.0000	0.0446	0.0525	0.0000	0.1123	0.2505	0.0000	0.0000
VIRSorter_Contig_1162-cat_2	49649	3.5856	1.8843	2.3016	2.6861	11.8832	6.1443	7.4322	6.3652	8.2654	4.8451	2.4504	4.0983	2.5006	4.7653	2.7527
VIRSorter_Contig_2432-cat_2	49404	31.7783	23.8384	33.2873	30.1613	21.8965	13.3823	21.7715	15.7973	36.4749	22.3376	8.0712	66.9234	43.4940	38.3625	23.6843
VIRSorter_Contig_2330-cat_2	49401	0.0011	0.0000	0.0006	0.0000	0.0000	0.0000	0.0485	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0062
VIRSorter_Contig_1210-cat_2	49127	14.7315	7.0704	6.2196	7.3400	71.9768	30.8145	13.6663	10.6836	13.0558	11.4468	5.8812	19.1742	7.4136	12.5523	7.4051
VIRSorter_Contig_1382-cat_2	49108	0.2757	0.0588	0.0000	0.3599	20.6090	0.0000	2.1328	0.3965	0.1551	0.0000	1.5402	0.0000	17.7771	1.5218	0.5015
VIRSorter_Contig_1835-cat_2	49037	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1421-cat_2	48900	1.3451	0.5935	0.0000	0.0000	14.5632	7.1132	0.0000	0.0000	0.0000	0.0000	2.6347	0.0655	0.0082	2.5892	1.7090
VIRSorter_Contig_4138-cat_2	48842	10.6227	6.3753	8.8076	9.9907	9.8518	7.5749	13.5085	10.7394	11.6318	8.0757	4.6481	21.3226	13.4309	14.0166	8.6827
VIRSorter_Contig_3093-cat_2	48809	1.3446	0.8684	2.8089	2.3830	1.4969	1.7547	0.5997	0.5141	2.4821	2.5588	1.4052	12.2352	9.0828	5.1792	3.5137
VIRSorter_Contig_1547-cat_2	48768	19.1058	10.0334	20.3553	16.1918	27.0291	15.2449	24.7126	14.1661	28.0643	17.9039	17.0670	37.9549	23.4139	44.6825	21.9825
VIRSorter_Contig_1805-cat_2	48764	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_3835-cat_2	48615	0.8024	0.0000	0.2538	0.1232	0.1169	0.0708	0.4697	0.2504	3.6210	3.5139	0.0000	11.1475	9.9701	0.1506	0.3711
VIRSorter_Contig_2431-cat_2	48473	13.0310	9.2089	11.6568	12.7305	15.8377	10.5800	19.4206	15.8499	18.7446	6.4235	5.5566	10.6921	8.3798	22.0462	10.7974
VIRSorter_Contig_2479-cat_2	48471	0.0149	0.0000	0.1324	0.0348	0.5818	1.0000	0.5923	13.7688	5.0116	0.5464	0.0000	1.2916	0.8224	0.8481	0.2148
VIRSorter_Contig_936-cat_2	48460	0.0457	0.0000	7.8427	11.3003	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	7.3647	4.6734	0.0000	0.0000
VIRSorter_Contig_806-cat_2	48364	9.4314	5.6992	20.4431	25.8440	6.1333	2.6041	8.6522	5.4045	0.1856	0.4663	3.8268	15.7631	11.3172	4.1553	3.5162
VIRSorter_Contig_432-cat_2	48361	8.9195	0.0266	0.1211	0.0223	0.3776	0.4715	0.0487	0.0000	0.0000	0.2075	0.0000	0.0000	0.0000	0.0002	0.0000
VIRSorter_Contig_591-cat_2	48254	0.5685	0.6708	1.7574	1.3172	1.2679	1.4553	1.5332	0.2968	1.4247	0.2870	0.3065	0.3380	0.3957	1.2636	0.8234
VIRSorter_Contig_1656-cat_2	48215	0.1858	0.0771	0.1064	0.0612	11.6561	6.5317	0.1294	0.0095	0.6263	0.5280	1.9898	1.3659	1.0963	5.1742	3.4415
VIRSorter_Contig_3707-cat_2	48158	10.5374	6.8815	6.0143	5.7763	7.7958	4.9444	9.3976	6.6369	11.6547	5.9883	4.6914	21.3541	16.9288	5.9361	3.2473
VIRSorter_Contig_3725-cat_2	48037	0.0518	0.0128	0.0411	0.0891	0.0801	0.0356	0.2949	0.1394	0.4730	0.2082	0.0164	0.3070	0.3122	0.1316	0.1162
VIRSorter_Contig_2898-cat_2	48031	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2144-cat_2	47968	11.3131	5.2648	12.1438	11.2584	9.4435	4.9539	14.0422	6.2660	14.8759	7.9178	3.3417	10.4746	4.4068	19.0171	12.6247
VIRSorter_Contig_4076-cat_2	47905	0.0452	0.0000	0.0350	0.0543	0.0023	0.0000	0.2175	0.0964	0.2312	0.1148	0.0000	0.1828	0.1367	0.0979	0.0157
VIRSorter_Contig_2501-cat_2	47777	7.5434	3.9294	2.5409	4.5400	3.8339	2.9591	18.4083	9.9625	32.2443	23.3015	2.9070	24.8956	13.1589	16.9927	10.3995
VIRSorter_Contig_2451-cat_2	47742	0.0034	0.0000	0.0005	0.0123	0.0409	0.0000	0.1489	0.1169	0.1700	0.0791	0.0000	0.0996	0.0839	0.0568	0.0166
VIRSorter_Contig_2342-cat_2	47692	0.0000	0.0000	0.0766	0.0195	0.0000	0.0000	29.5896	4.0879	0.9212	0.0766	0.0000	0.0271	0.0000	1.9535	1.2965
VIRSorter_Contig_585-cat_2	47598	22.7873	13.3343	0.2339	0.1538	4.8469	3.4148	0.1449	0.0487	0.0000	0.0000	1.6690	0.0000	0.0000	5.9007	4.5244
VIRSorter_Contig_2347-cat_2	47463	9.4380	5.8770	9.6393	12.3101	6.0919	7.5931	10.2665	2.4658	10.5262	4.9715	3.5583	5.3275	3.0832	8.1786	5.6189
VIRSorter_Contig_2783-cat_2	47382	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0748	0.0000	0.0000	0.0000
VIRSorter_Contig_1300-cat_2	47381	0.0000	0.0000	0.0000	0.0000	8.9774	0.7161	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0888	0.0000
VIRSorter_Contig_1274-cat_2	47351	7.4330	1.0959	1.9159	2.4694	22.8099	2.9419	5.5165	1.6046	10.5781	13.9665	11.9997	0.4857	0.0906	24.0683	12.8800
VIRSorter_Contig_3751-cat_2	47247	1.4505	2.8849	0.8588	3.5660	6.4362	11.6692	1.1165	2.4447	6.4854	3.2054	1.7914	0.9564	11.5885	0.8206	6.9424
VIRSorter_Contig_81-cat_2	47205	12.2365	7.5071	0.4255	0.2412	6.9161	4.3667	0.8369	0.2437	0.0483	0.0000	2.5058	0.3037	0.2763	4.0597	1.2523
VIRSorter_Contig_2778-cat_2	47183	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1674-cat_2	47165	28.4566	15.3461	22.0131	20.9681	71.9026	61.4738	26.1073	16.6730	17.2001	14.3304	22.9312	30.3702	18.7850	61.7316	33.1859
VIRSorter_Contig_3343-cat_2	46949	0.8888	0.4774	0.2886	0.6250	0.2242	0.1362	1.5803	1.0140	4.7490	4.0615	0.8855	9.7709	4.1717	0.3185	0.2391
VIRSorter_Contig_3501-cat_2	46945	1.6703	0.5510	2.6499	2.6721	2.4389	0.2059	3.0093	2.0831	2.6151	2.8268	0.3030	12.6729	2.5932	2.8389	0.7426
VIRSorter_Contig_4043-cat_2	46913	20.0456	12.6170	9.8699	9.4757	18.9395	14.3851	12.7868	11.0492	0.8287	0.2716	5.5421	4.1669	3.8683	11.9398	5.9347
VIRSorter_Contig_3651-cat_2	46763	0.3001	0.0221	2.0066	5.5499	5.5602	1.8838	0.0000	0.0000	0.0000	0.0000	0.6806	14.8047	8.2219	3.1901	2.2534
VIRSorter_Contig_3782-cat_2	46752	3.8315	1.9928	1.9328	2.7156	4.0819	3.0742	1.7103	1.3451	8.1294	5.6820	1.3089	17.1477	13.2760	2.8470	2.6812
VIRSorter_Contig_2277-cat_2	46716	17.0803	4.3056	3.1443	1.8009	41.3982	12.7248	14.1129	5.4634	1.2301	1.4976	4.7255	5.4341	2.9253	6.7398	2.9879
VIRSorter_Contig_262-cat_2	46534	17.0062	11.4306	3.1406	3.3435	7.7972	4.9903	5.5224	4.6381	0.8128	0.1937	3.0156	1.5241	1.0027	6.5183	5.1179
VIRSorter_Contig_2272-cat_2	46519	0.0000	0.0958	0.2753	0.0193	0.0000	0.0000	23.3864	0.2381	0.4595	0.0117	0.0000	0.0357	0.0227	0.0000	0.0000
VIRSorter_Contig_4592-cat_2	46516	1.8687	1.5788	3.5920	5.0015	0.1141	0.2214	4.2684	1.0932	19.5946	8.0436	3.1668	8.4196	5.1144	26.2440	21.3864
VIRSorter_Contig_1649-cat_2	46516	9.8734	5.7331	9.6662	10.9809	11.9245	5.9115	3.6042	2.8480	2.1609	1.8664	5.5119	8.8224	8.5960	13.0898	8.0907
VIRSorter_Contig_4282-cat_2	46473	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_4340-cat_2	46473	10.9547	6.8456	8.3887	11.1638	16.8632	8.8642	13.3729	11.1695	3.9733	3.1562	9.3734	4.7157	2.4004	25.5889	14.6685
