#contig	Length	B0H_VFD_S52	B0H_VFN_S44	B0L_VFD_S51	B0L_VFN_S43	B2R2H_VFD_S54	B2R2H_VFN_S46	B2R2L_VFD_S53	B2R2L_VFN_S45	B3R2H_VFD_S55	B3R2H_VFN_S48	B3R2L_VFN_S47	B8R2H_VFD_S57	B8R2H_VFN_S50	B8R2L_VFD_S56	B8R2L_VFN_S49
VIRSorter_Contig_1563-circular-cat_2	56996	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0001	0.0000	0.0002	0.0007	0.0001	0.0001	0.0000	0.0001	0.0002
VIRSorter_Contig_2155-circular-cat_2	153332	0.0051	0.0022	0.0077	0.0100	0.0250	0.0202	0.0878	0.0107	0.0122	0.0050	0.0099	0.0095	0.0017	0.0064	0.0072
VIRSorter_Contig_3255-circular-cat_2	42935	0.0001	0.0002	0.0000	0.0001	0.0002	0.0000	0.0001	0.0004	0.0003	0.0001	0.0002	0.0838	0.0314	0.0000	0.0000
VIRSorter_Contig_2936-circular-cat_2	52608	0.2022	0.0418	0.0222	0.0524	0.1215	0.1366	0.0690	0.0431	0.0273	0.1395	0.1528	0.2002	0.0535	0.0114	0.0190
VIRSorter_Contig_3207-circular-cat_2	11396	0.0218	0.0126	0.0361	0.0366	0.0140	0.0132	0.0256	0.0197	0.0233	0.0192	0.0118	0.0617	0.0306	0.0252	0.0168
VIRSorter_Contig_299-circular-cat_2	63686	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0001	0.0000	0.0000	0.0001	0.0000	0.0001	0.0000
VIRSorter_Contig_4289-circular-cat_2	37016	0.0495	0.0259	0.0254	0.0284	0.0575	0.0438	0.0363	0.0267	0.0413	0.0264	0.0086	0.0479	0.0405	0.0880	0.0466
VIRSorter_Contig_2232-circular-cat_2	48049	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_970-circular-cat_2	56996	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001
VIRSorter_Contig_2395-circular-cat_2	48049	0.0008	0.0003	0.0008	0.0005	0.0119	0.0017	0.0010	0.0010	0.0058	0.0018	0.0002	0.0004	0.0002	0.0010	0.0006
VIRSorter_Contig_298-circular-cat_2	49494	0.0682	0.0290	0.0268	0.0719	0.0498	0.0302	0.0246	0.0318	0.0395	0.0290	0.0180	0.0406	0.0239	0.0374	0.0357
VIRSorter_Contig_1199-circular-cat_2	41297	0.0193	0.0053	0.0080	0.0071	0.1061	0.0234	0.0028	0.0024	0.0055	0.0005	0.0019	0.0069	0.0020	0.0021	0.0009
VIRSorter_Contig_2716-circular-cat_2	54414	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_337-circular-cat_2	45005	0.1036	0.0692	0.0214	0.0314	0.0934	0.0498	0.1283	0.0891	0.0201	0.0090	0.0182	0.0123	0.0110	0.0607	0.0265
VIRSorter_Contig_3815-circular-cat_2	39267	0.0012	0.0006	0.0006	0.0006	0.0009	0.0002	0.0010	0.0006	0.0013	0.0007	0.0004	0.0013	0.0013	0.0009	0.0007
VIRSorter_Contig_1679-circular-cat_2	17069	0.0405	0.0231	0.0341	0.0284	0.1130	0.0775	0.0207	0.0168	0.0318	0.0213	0.0153	0.0656	0.0357	0.0455	0.0498
VIRSorter_Contig_3871-circular-cat_2	44073	0.0015	0.0003	0.0002	0.0003	0.0009	0.0002	0.0028	0.0013	0.0016	0.0034	0.0017	0.0015	0.1360	0.0009	0.0001
VIRSorter_Contig_2913-circular-cat_2	23535	0.0000	0.0001	0.0003	0.0012	0.0006	0.0001	0.0000	0.0000	0.0000	0.0003	0.0011	0.0000	0.0000	0.0000	0.0001
VIRSorter_Contig_3487-circular-cat_2	48049	0.0000	0.0000	0.0000	0.0000	0.0003	0.0000	0.0002	0.0000	0.0002	0.0000	0.0000	0.0005	0.0002	0.0000	0.0000
VIRSorter_Contig_1841-circular-cat_2	45492	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_568-circular-cat_2	55254	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1303-circular-cat_2	50163	0.0001	0.0001	0.0000	0.0000	0.1271	0.0015	0.0002	0.0000	0.0022	0.0013	0.0002	0.0000	0.0000	0.0000	0.0001
VIRSorter_Contig_2406-circular-cat_2	39513	0.0081	0.0037	0.0020	0.0032	0.0044	0.0030	0.0051	0.0051	0.0002	0.0002	0.0002	0.0000	0.0002	0.0014	0.0004
VIRSorter_Contig_586-circular-cat_2	46226	0.0043	0.0045	0.0018	0.0024	0.0019	0.0015	0.0029	0.0016	0.0012	0.0007	0.0004	0.0011	0.0014	0.0008	0.0007
VIRSorter_Contig_652-circular-cat_2	16526	0.0008	0.0004	0.0016	0.0029	0.0005	0.0007	0.0007	0.0007	0.0002	0.0000	0.0001	0.0010	0.0006	0.0005	0.0005
VIRSorter_Contig_4334-circular-cat_2	41714	0.0012	0.0003	0.0005	0.0004	0.0007	0.0007	0.0002	0.0002	0.0002	0.0001	0.0004	0.0007	0.0007	0.0010	0.0004
VIRSorter_Contig_2940-circular-cat_2	45703	0.0002	0.0001	0.0000	0.0000	0.0001	0.0002	0.0002	0.0002	0.0010	0.0006	0.0000	0.0003	0.0001	0.0002	0.0001
VIRSorter_Contig_1910-circular-cat_2	54020	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2725-circular-cat_2	46070	0.0031	0.0005	0.0023	0.0053	0.0006	0.0003	0.0010	0.0044	0.1771	0.0657	0.0031	0.0225	0.0127	0.0138	0.0063
VIRSorter_Contig_3061-circular-cat_2	41656	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2961-circular-cat_2	47373	0.0009	0.0001	0.0041	0.0027	0.0011	0.0006	0.0338	0.0063	0.1193	0.0994	0.0005	0.0834	0.0556	0.0006	0.0016
VIRSorter_Contig_4078-circular-cat_2	56540	0.0001	0.0000	0.0000	0.0000	0.0004	0.0001	0.0004	0.0002	0.0002	0.0014	0.0001	0.0000	0.0000	0.1501	0.3150
VIRSorter_Contig_4287-circular-cat_2	39245	0.0011	0.0009	0.0007	0.0005	0.0004	0.0005	0.0009	0.0013	0.0001	0.0000	0.0001	0.0001	0.0005	0.0009	0.0003
VIRSorter_Contig_2706-circular-cat_2	55255	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_581-circular-cat_2	41656	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1514-circular-cat_2	40769	0.0219	0.0057	0.0011	0.0010	0.1168	0.0200	0.0013	0.0006	0.0019	0.0008	0.0022	0.0012	0.0003	0.0040	0.0021
VIRSorter_Contig_3569-circular-cat_2	67392	0.0488	0.0361	0.0483	0.0480	0.0371	0.0346	0.0632	0.0495	0.0775	0.0565	0.0152	0.1277	0.0809	0.0515	0.0340
VIRSorter_Contig_1523-circular-cat_2	84400	0.0002	0.0009	0.0004	0.0007	0.5710	0.0001	0.0009	0.0001	0.0006	0.0003	0.0002	0.0000	0.0000	0.0009	0.0040
VIRSorter_Contig_8-circular-cat_2	44350	0.0873	0.0581	0.0933	0.0882	0.1391	0.0910	0.0852	0.0595	0.0377	0.0249	0.0497	0.1082	0.0937	0.0898	0.0515
VIRSorter_Contig_1760-cat_2	135507	0.0066	0.0418	0.0831	0.0157	0.0123	0.1707	0.0093	0.0052	0.0398	0.0282	0.0105	0.0368	0.0231	0.1234	0.0214
VIRSorter_Contig_4284-cat_2	127770	0.1116	0.0423	0.1253	0.1375	0.0964	0.0573	0.1790	0.1092	0.0777	0.0342	0.0149	0.0922	0.0677	0.1336	0.0693
VIRSorter_Contig_1056-cat_2	110701	0.0501	0.0144	0.0693	0.0870	0.1166	0.0776	0.0889	0.0248	0.0631	0.0427	0.0233	0.0691	0.0527	0.2578	0.1225
VIRSorter_Contig_3558-cat_2	105008	0.0213	0.0055	0.0168	0.0262	0.0144	0.0073	0.0229	0.0136	0.0244	0.0095	0.0063	0.1399	0.0094	0.0475	0.0176
VIRSorter_Contig_467-cat_2	94052	0.1547	0.0711	0.0175	0.0199	0.0507	0.0345	0.0193	0.0096	0.0058	0.0045	0.0107	0.0106	0.0105	0.0183	0.0098
VIRSorter_Contig_2391-cat_2	87952	0.0053	0.0015	0.0047	0.0050	0.0041	0.0024	0.0093	0.0057	0.0030	0.0017	0.0005	0.0021	0.0017	0.0031	0.0016
VIRSorter_Contig_699-cat_2	86526	0.0873	0.0118	0.0925	0.1023	0.0061	0.0006	0.0414	0.1385	0.0123	0.0082	0.0194	0.0705	0.2265	0.0135	0.0102
VIRSorter_Contig_1095-cat_2	86436	0.0032	0.0004	0.0025	0.0056	0.0003	0.0000	0.0020	0.0042	0.0003	0.0004	0.0006	0.0029	0.0107	0.0005	0.0004
VIRSorter_Contig_178-cat_2	84360	0.0084	0.0006	0.0012	0.0014	0.0001	0.0001	0.0001	0.0102	0.0003	0.0002	0.0008	0.0024	0.0043	0.0002	0.0006
VIRSorter_Contig_837-cat_2	83920	0.0426	0.0228	0.0812	0.0978	0.0114	0.0136	0.0805	0.0224	0.0614	0.0257	0.0075	0.0548	0.0207	0.2312	0.2043
VIRSorter_Contig_4121-cat_2	75037	0.0400	0.0232	0.0151	0.0105	0.0449	0.0468	0.0511	0.0282	0.0429	0.0333	0.0200	0.0149	0.0158	0.1398	0.0637
VIRSorter_Contig_722-cat_2	74864	0.0420	0.0222	0.0772	0.0950	0.0119	0.0128	0.0755	0.0209	0.0580	0.0246	0.0075	0.0509	0.0196	0.2185	0.1927
VIRSorter_Contig_2491-cat_2	74674	0.0108	0.0037	0.0064	0.0030	0.0134	0.0045	0.0085	0.1077	0.0130	0.0061	0.0041	0.0103	0.0085	0.0109	0.0062
VIRSorter_Contig_296-cat_2	74047	0.0003	0.0000	0.0001	0.0001	0.0000	0.0001	0.0000	0.0001	0.0001	0.0001	0.0000	0.0001	0.0001	0.0001	0.0001
VIRSorter_Contig_1858-cat_2	73637	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_3353-cat_2	72963	0.0003	0.0004	0.0011	0.0004	0.0013	0.0013	0.0081	0.0013	0.0031	0.0005	0.0003	0.1115	0.0193	0.0025	0.0003
VIRSorter_Contig_987-cat_2	72398	0.0022	0.0083	0.0471	0.0718	0.0014	0.0015	0.0200	0.0035	0.0320	0.0101	0.0035	0.0046	0.0045	0.0024	0.0023
VIRSorter_Contig_3109-cat_2	71946	0.0470	0.0247	0.0269	0.0319	0.0669	0.0773	0.0439	0.0368	0.0407	0.0367	0.0192	0.0964	0.0676	0.0480	0.0451
VIRSorter_Contig_1181-cat_2	71656	0.0000	0.0001	0.0001	0.0001	0.0981	0.0001	0.0011	0.0003	0.0006	0.0003	0.0001	0.0000	0.0000	0.0001	0.0003
VIRSorter_Contig_4019-cat_2	70061	0.0025	0.0009	0.0040	0.0027	0.0032	0.0004	0.0044	0.0027	0.0008	0.0005	0.0002	0.0016	0.0008	0.0039	0.0033
VIRSorter_Contig_1739-cat_2	68761	0.1433	0.0930	0.0601	0.0710	0.1193	0.0995	0.0749	0.0601	0.0557	0.0499	0.0540	0.1341	0.0595	0.0969	0.0755
VIRSorter_Contig_3243-cat_2	68271	0.0008	0.0023	0.0041	0.0016	0.0176	0.0028	0.0118	0.0047	0.0094	0.0123	0.0348	0.0962	0.0024	0.0313	0.0137
VIRSorter_Contig_1456-cat_2	65780	0.0117	0.0054	0.0093	0.0083	0.0878	0.0112	0.0095	0.0073	0.0120	0.0139	0.0109	0.0057	0.0023	0.0279	0.0195
VIRSorter_Contig_2870-cat_2	64709	0.0083	0.0012	0.0235	0.0222	0.0048	0.0040	0.0248	0.0062	0.1340	0.0811	0.0026	0.0640	0.0281	0.0086	0.0044
VIRSorter_Contig_1201-cat_2	64681	0.0026	0.0016	0.0049	0.0047	0.0795	0.0198	0.0029	0.0021	0.0012	0.0015	0.0046	0.0423	0.0079	0.0010	0.0051
VIRSorter_Contig_3834-cat_2	64443	0.0500	0.0319	0.0469	0.0470	0.0340	0.0266	0.0520	0.0365	0.0637	0.0436	0.0276	0.1157	0.0904	0.0505	0.0310
VIRSorter_Contig_4565-cat_2	64394	0.0008	0.0006	0.0016	0.0022	0.0011	0.0011	0.0011	0.0007	0.0012	0.0004	0.0010	0.0012	0.0006	0.0024	0.0020
VIRSorter_Contig_2067-cat_2	63850	0.0061	0.0073	0.0325	0.0078	0.0083	0.0456	0.0908	0.0351	0.0475	0.0045	0.0111	0.0087	0.0425	0.0045	0.0055
VIRSorter_Contig_1294-cat_2	63675	0.0007	0.0006	0.0005	0.0008	0.0059	0.0021	0.0025	0.0007	0.0005	0.0006	0.0004	0.0007	0.0004	0.0034	0.0013
VIRSorter_Contig_831-cat_2	63653	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000
VIRSorter_Contig_2889-cat_2	62870	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2201-cat_2	62787	0.0002	0.0000	0.0000	0.0001	0.0001	0.0001	0.0002	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2418-cat_2	61629	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0109	0.0008	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2595-cat_2	61549	0.0254	0.0135	0.0318	0.0426	0.0125	0.0080	0.0949	0.0188	0.1169	0.0444	0.0114	0.1020	0.0601	0.0467	0.0400
VIRSorter_Contig_4005-cat_2	61463	0.0001	0.0000	0.0003	0.0001	0.0002	0.0001	0.0002	0.0001	0.0000	0.0001	0.0001	0.0003	0.0001	0.0002	0.0002
VIRSorter_Contig_3598-cat_2	61258	0.0001	0.0000	0.0003	0.0001	0.0002	0.0001	0.0002	0.0002	0.0006	0.0002	0.0001	0.0008	0.0002	0.0006	0.0002
VIRSorter_Contig_3356-cat_2	61060	0.0317	0.0296	0.0484	0.0409	0.1385	0.0673	0.0408	0.0212	0.0847	0.0470	0.0452	0.0830	0.0437	0.0182	0.0140
VIRSorter_Contig_3713-cat_2	60890	0.2209	0.0907	0.1382	0.1212	0.1567	0.1080	0.1155	0.0676	0.0695	0.0426	0.0443	0.1439	0.1053	0.1164	0.0622
VIRSorter_Contig_65-cat_2	60691	0.1027	0.0222	0.1020	0.2092	0.0115	0.0055	0.1194	0.0397	0.0167	0.0323	0.0017	0.0145	0.0064	0.0576	0.0444
VIRSorter_Contig_2538-cat_2	60408	0.0015	0.0011	0.0023	0.0029	0.0024	0.0017	0.0018	0.0011	0.0013	0.0007	0.0004	0.0012	0.0009	0.0019	0.0015
VIRSorter_Contig_1376-cat_2	60333	0.0097	0.0048	0.0066	0.0077	0.1098	0.1058	0.0220	0.0128	0.0224	0.0072	0.0231	0.0038	0.0034	0.0426	0.0234
VIRSorter_Contig_895-cat_2	59610	0.0061	0.0016	0.0722	0.0009	0.0018	0.0016	0.0081	0.0017	0.0074	0.0062	0.0004	0.0033	0.0011	0.0025	0.0010
VIRSorter_Contig_2014-cat_2	59608	0.0754	0.0816	0.2178	0.1651	0.1705	0.1488	0.1933	0.0436	0.1875	0.0401	0.0439	0.0618	0.0587	0.1544	0.1074
VIRSorter_Contig_169-cat_2	59595	0.1076	0.0756	0.0882	0.0996	0.1003	0.0624	0.1205	0.1012	0.0777	0.0379	0.0309	0.0830	0.0589	0.1493	0.0795
VIRSorter_Contig_3679-cat_2	59209	1.0321	0.4752	0.8796	0.9209	0.2730	0.1723	0.0993	0.0784	0.0894	0.1298	0.0232	0.3164	0.1369	0.0008	0.0006
VIRSorter_Contig_2744-cat_2	58730	0.0043	0.0022	0.0123	0.0098	0.0040	0.0023	0.0599	0.0239	0.1157	0.0692	0.0053	0.1040	0.0628	0.0081	0.0086
VIRSorter_Contig_3775-cat_2	58420	0.0371	0.0256	0.0705	0.0734	0.0546	0.0308	0.0851	0.0587	0.0493	0.0409	0.0235	0.0870	0.0780	0.0485	0.0398
VIRSorter_Contig_3325-cat_2	58386	0.0018	0.0034	0.0025	0.0020	0.0013	0.0020	0.0014	0.0008	0.0017	0.0020	0.0010	0.1416	0.0730	0.0032	0.0059
VIRSorter_Contig_192-cat_2	58258	0.0638	0.0225	0.0235	0.0213	0.0594	0.0423	0.0249	0.0293	0.0122	0.0077	0.0142	0.0159	0.0052	0.0558	0.0256
VIRSorter_Contig_1500-cat_2	58083	0.0644	0.0437	0.0899	0.0830	0.1063	0.0506	0.0727	0.0472	0.0585	0.0473	0.0408	0.0962	0.0723	0.0748	0.0454
VIRSorter_Contig_409-cat_2	57942	0.0779	0.0114	0.0050	0.0315	0.0080	0.0049	0.0023	0.0027	0.0026	0.0029	0.0047	0.0065	0.0161	0.0486	0.0184
VIRSorter_Contig_4372-cat_2	57475	0.0082	0.0148	0.0267	0.0244	0.0402	0.0283	0.0069	0.0018	0.0561	0.0185	0.0068	0.0306	0.0258	0.1118	0.0900
VIRSorter_Contig_2534-cat_2	57417	0.0084	0.0069	0.0100	0.0098	0.0421	0.0272	0.0663	0.0322	0.0957	0.0614	0.0565	0.0933	0.0472	0.0082	0.0204
VIRSorter_Contig_370-cat_2	57200	0.0911	0.0614	0.0143	0.0124	0.0890	0.0361	0.0585	0.0383	0.0174	0.0134	0.0390	0.0252	0.0125	0.0518	0.0256
VIRSorter_Contig_3893-cat_2	57075	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1319-cat_2	57018	0.0134	0.0058	0.0073	0.0060	0.0103	0.0061	0.0060	0.0036	0.0043	0.0029	0.0022	0.0075	0.0056	0.0066	0.0035
VIRSorter_Contig_3948-cat_2	56992	0.0413	0.0056	0.0081	0.0079	0.0246	0.0321	0.0244	0.0174	0.0377	0.0191	0.0138	0.0847	0.0961	0.0299	0.0425
VIRSorter_Contig_1084-cat_2	56303	0.0082	0.0053	0.0075	0.0808	0.0086	0.0061	0.0064	0.0057	0.0056	0.0027	0.0050	0.0055	0.0061	0.0026	0.0030
VIRSorter_Contig_757-cat_2	56272	0.0372	0.0169	0.0921	0.0350	0.0172	0.0478	0.0108	0.0032	0.0091	0.0077	0.0482	0.0702	0.0170	0.0026	0.0007
VIRSorter_Contig_1646-cat_2	55255	0.2284	0.1447	0.4004	0.3483	0.3601	0.2357	0.2730	0.1695	0.4019	0.3292	0.1398	0.3287	0.2707	0.4223	0.2882
VIRSorter_Contig_3885-cat_2	55236	0.1451	0.0991	0.0933	0.0868	0.0920	0.0606	0.1505	0.1382	0.1297	0.0752	0.0543	0.2066	0.1511	0.1159	0.0662
VIRSorter_Contig_4528-cat_2	55010	0.0012	0.0007	0.0035	0.0094	0.0017	0.0016	0.0051	0.0068	0.0379	0.0089	0.0047	0.0231	0.0149	0.0078	0.0843
VIRSorter_Contig_1670-cat_2	54999	0.0005	0.0002	0.0005	0.0004	0.1105	0.0006	0.0007	0.0005	0.0006	0.0005	0.0005	0.0006	0.0003	0.0002	0.0002
VIRSorter_Contig_629-cat_2	54742	0.0800	0.0428	0.1562	0.1206	0.0445	0.0438	0.1157	0.0271	0.1080	0.0800	0.0753	0.1255	0.0631	0.1118	0.0994
VIRSorter_Contig_3417-cat_2	54639	0.0081	0.0061	0.0061	0.0041	0.0067	0.0026	0.0115	0.0092	0.0200	0.0311	0.0101	0.1489	0.0566	0.0090	0.0023
VIRSorter_Contig_1008-cat_2	54638	0.0075	0.0033	0.1121	0.1100	0.0031	0.0011	0.0490	0.0426	0.0247	0.0153	0.0025	0.0789	0.0657	0.0113	0.0051
VIRSorter_Contig_3905-cat_2	54367	0.0024	0.0012	0.0021	0.0018	0.0032	0.0014	0.0026	0.0023	0.0047	0.0023	0.0015	0.0056	0.0042	0.0038	0.0033
VIRSorter_Contig_385-cat_2	54127	0.0706	0.0121	0.0066	0.0103	0.0079	0.0050	0.0034	0.0033	0.0043	0.0014	0.0018	0.0013	0.0015	0.0027	0.0028
VIRSorter_Contig_2175-cat_2	54059	0.0000	0.0001	0.0001	0.0002	0.0000	0.0002	0.1647	0.0229	0.0005	0.0001	0.0000	0.0001	0.0000	0.0000	0.0000
VIRSorter_Contig_1082-cat_2	53476	0.0083	0.0059	0.0785	0.0988	0.0056	0.0022	0.0273	0.0109	0.0342	0.0115	0.0058	0.0403	0.0295	0.0135	0.0131
VIRSorter_Contig_1412-cat_2	53340	0.0002	0.0000	0.0000	0.0001	0.0005	0.0004	0.0002	0.0001	0.0002	0.0000	0.0001	0.0001	0.0001	0.0002	0.0000
VIRSorter_Contig_950-cat_2	53308	0.0047	0.0030	0.0020	0.0031	0.0064	0.0058	0.0048	0.0017	0.0018	0.0010	0.0011	0.0002	0.0002	0.0013	0.0009
VIRSorter_Contig_1970-cat_2	52749	0.0002	0.0000	0.0001	0.0000	0.0002	0.0002	0.0911	0.0168	0.0007	0.0003	0.0001	0.0002	0.0000	0.0005	0.0004
VIRSorter_Contig_2989-cat_2	52666	0.0019	0.0005	0.0017	0.0026	0.0028	0.0009	0.0039	0.0017	0.0047	0.0022	0.0017	0.0028	0.0016	0.0040	0.0034
VIRSorter_Contig_3695-cat_2	52651	0.0735	0.0420	0.0178	0.0265	0.0930	0.0346	0.0378	0.0368	0.1070	0.0151	0.0123	0.1247	0.1936	0.0250	0.0277
VIRSorter_Contig_1347-cat_2	52540	0.0895	0.0514	0.0401	0.0370	0.0893	0.0561	0.0339	0.0255	0.0256	0.0141	0.0338	0.0525	0.0386	0.0669	0.0433
VIRSorter_Contig_1667-cat_2	52433	0.0542	0.0139	0.0032	0.0011	0.0940	0.0371	0.0009	0.0006	0.0028	0.0004	0.0020	0.0031	0.0013	0.0001	0.0005
VIRSorter_Contig_1069-cat_2	52371	0.0000	0.0000	0.0000	0.0002	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_1606-cat_2	52290	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	0.0001	0.0000	0.0000
VIRSorter_Contig_1746-cat_2	52227	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_2986-cat_2	52117	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_3719-cat_2	52093	0.0045	0.0116	0.0041	0.0040	0.0002	0.0010	0.0141	0.0222	0.0294	0.0053	0.0000	0.0708	0.0855	0.0017	0.0005
VIRSorter_Contig_57-cat_2	51973	0.0008	0.0002	0.0004	0.0004	0.0005	0.0002	0.0003	0.0001	0.0006	0.0002	0.0002	0.0008	0.0004	0.0009	0.0006
VIRSorter_Contig_2378-cat_2	51858	0.0068	0.0072	0.0110	0.0004	0.0029	0.0080	0.0280	0.1840	0.0018	0.0009	0.0006	0.0020	0.0015	0.0033	0.0263
VIRSorter_Contig_2299-cat_2	51826	0.0096	0.0104	0.0259	0.0016	0.0048	0.0086	0.0742	0.0047	0.0027	0.0012	0.0008	0.0057	0.0034	0.0034	0.0558
VIRSorter_Contig_2603-cat_2	51798	0.0002	0.0002	0.0001	0.0001	0.0001	0.0002	0.0002	0.0001	0.0000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0000
VIRSorter_Contig_300-cat_2	51667	0.0920	0.0492	0.0993	0.0855	0.1143	0.0759	0.0753	0.0355	0.0525	0.0305	0.0250	0.1079	0.0637	0.0630	0.0341
VIRSorter_Contig_1099-cat_2	51366	0.1414	0.0751	0.0874	0.1145	0.1354	0.0768	0.1525	0.1150	0.0193	0.0218	0.0387	0.0641	0.0398	0.0770	0.0561
VIRSorter_Contig_3092-cat_2	51294	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	0.0000	0.0000	0.0000	0.0002
VIRSorter_Contig_792-cat_2	51195	0.0007	0.0004	0.0005	0.0006	0.0007	0.0004	0.0010	0.0005	0.0004	0.0001	0.0002	0.0004	0.0004	0.0004	0.0000
VIRSorter_Contig_2072-cat_2	50942	0.0000	0.0000	0.0002	0.0003	0.0000	0.0000	0.1398	0.0152	0.0298	0.0013	0.0001	0.0004	0.0001	0.0002	0.0002
VIRSorter_Contig_3476-cat_2	50782	0.0179	0.0083	0.0452	0.0296	0.0533	0.0064	0.0334	0.0172	0.1127	0.0279	0.0040	0.1353	0.0804	0.0633	0.0175
VIRSorter_Contig_3441-cat_2	50714	0.0488	0.0451	0.1047	0.0713	0.0160	0.0072	0.0870	0.0340	0.0637	0.0404	0.0088	0.0802	0.0580	0.0112	0.0162
VIRSorter_Contig_3881-cat_2	50463	0.0960	0.0523	0.0716	0.0784	0.2514	0.2050	0.1193	0.0738	0.0519	0.0453	0.0357	0.0788	0.0800	0.0228	0.0301
VIRSorter_Contig_3701-cat_2	50200	0.0087	0.0031	0.0063	0.0071	0.0056	0.0031	0.0101	0.0023	0.0109	0.0039	0.0017	0.0117	0.0084	0.0096	0.0066
VIRSorter_Contig_4404-cat_2	49995	0.0562	0.0360	0.0832	0.0849	0.0321	0.0174	0.1292	0.0784	0.2578	0.1160	0.0473	0.2037	0.1655	0.1567	0.0977
VIRSorter_Contig_1751-cat_2	49964	0.0380	0.0272	0.0297	0.0250	0.0965	0.1151	0.0275	0.0176	0.0465	0.0320	0.0137	0.0773	0.0924	0.0178	0.0108
VIRSorter_Contig_959-cat_2	49794	0.0001	0.0002	0.0688	0.1021	0.0000	0.0000	0.0183	0.0145	0.0047	0.0007	0.0000	0.0055	0.0112	0.0006	0.0001
VIRSorter_Contig_3498-cat_2	49794	0.0380	0.0234	0.0376	0.0293	0.0274	0.0186	0.0445	0.0281	0.0536	0.0362	0.0187	0.0767	0.0469	0.0458	0.0259
VIRSorter_Contig_3889-cat_2	49780	0.0025	0.0018	0.0017	0.0017	0.0059	0.0058	0.0018	0.0011	0.0034	0.0020	0.0006	0.0046	0.0070	0.0010	0.0007
VIRSorter_Contig_1162-cat_2	49649	0.0263	0.0151	0.0177	0.0201	0.0864	0.0458	0.0536	0.0457	0.0597	0.0360	0.0186	0.0303	0.0187	0.0349	0.0210
VIRSorter_Contig_2432-cat_2	49404	0.2271	0.1685	0.2382	0.2163	0.1576	0.0958	0.1556	0.1126	0.2621	0.1602	0.0586	0.4695	0.3096	0.2732	0.1685
